text, lemma_, pos_, tag_, dep_, is_alpha, is_stop, is_oov, text
sql,sql,NOUN,NN,compound,True,False,False,sql db op list
db,db,NOUN,NN,compound,True,False,False,sql db op list
op,op,NOUN,NN,compound,True,False,False,sql db op list
list,list,NOUN,NN,ROOT,True,False,False,sql db op list
network,network,NOUN,NN,nmod,True,False,False,network dns record-set srv show
dns,dns,NOUN,NN,amod,True,False,False,network dns record-set srv show
record,record,NOUN,NN,compound,True,False,False,network dns record-set srv show
set,set,VERB,VBN,amod,True,False,False,network dns record-set srv show
srv,srv,PROPN,NNP,compound,True,False,False,network dns record-set srv show
show,show,NOUN,NN,ROOT,True,False,False,network dns record-set srv show
group,group,NOUN,NN,compound,True,False,False,group deployment wait
deployment,deployment,NOUN,NN,nsubj,True,False,False,group deployment wait
wait,wait,VERB,VBP,ROOT,True,False,False,group deployment wait
ams,ams,NOUN,NN,nsubj,True,False,False,ams account sp create
account,account,NOUN,NN,ROOT,True,False,False,ams account sp create
sp,sp,PRON,PRP,nsubj,True,False,False,ams account sp create
create,create,NOUN,NN,ccomp,True,False,False,ams account sp create
iot,iot,PRON,PRP,ROOT,True,False,False,iot hub show-connection-string
hub,hub,NOUN,NN,compound,True,False,False,iot hub show-connection-string
show,show,NOUN,NN,compound,True,False,False,iot hub show-connection-string
connection,connection,NOUN,NN,compound,True,False,False,iot hub show-connection-string
string,string,NOUN,NN,dobj,True,False,False,iot hub show-connection-string
sql,sql,NOUN,NN,compound,True,False,False,sql dw
dw,dw,PROPN,NNP,ROOT,True,False,False,sql dw
network,network,NOUN,NN,compound,True,False,False,network vnet subnet
vnet,vnet,NOUN,NN,compound,True,False,False,network vnet subnet
subnet,subnet,NOUN,NN,ROOT,True,False,False,network vnet subnet
appservice,appservice,NOUN,NN,compound,True,False,True,appservice plan
plan,plan,NOUN,NN,ROOT,True,False,False,appservice plan
role,role,NOUN,NN,compound,True,False,False,role definition list
definition,definition,NOUN,NN,compound,True,False,False,role definition list
list,list,NOUN,NN,ROOT,True,False,False,role definition list
